"Reference","Qty","Manufacturer","MPN","Value","Datasheet","Beschreibung"
,"1","TE Connectivity","3-643813-2","CONN RCPT 2POS IDC 22AWG TIN","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=643813&DocType=Customer+Drawing&DocLang=English","Socket 1 x 2 recp. 2.54 mm crimpable "
,"1",,,"Red isolated wire, l = 150mm, A = 0.32 .. 0.38 mm²","~","Isolated copper flex wire, crimpable, solderable"
,"1",,,"Black isolated wire, l = 150mm, A = 0.32 .. 0.38 mm²","~","Isolated copper flex wire, crimpable, solderable"
,"1","Tadiran","SL-360/S","Li-SOCl2, AA 14505, 3,6 V, 2400 mAh","https://tadiranbatteries.de/wp-content/uploads/2025/05/SL-360.pdf","Long life primary lithium battery"
,"1","COMF","BH-311-1D","battery holder AA 1505","https://www.tme.eu/Document/c4c1f446c50179e7ec3b8c2a71063bdc/AACell.pdf","Holder; AA,R6; Batt.no: 1; soldering lugs; black"
